--- Detection Log Started: 2025-07-16 19:58:04.653123 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
--------------------------------------------------
[2025-07-16 19:58:04.955 | Frame 0] Base and fire YOLO models loaded.
[2025-07-16 19:58:15.216 | Frame 16] Detected HUMAN: Person 0.93 at [361,371,539,678] conf: 0.93
[2025-07-16 19:58:15.216 | Frame 16] Detected HUMAN: Person 0.93 at [192,374,377,679] conf: 0.93
[2025-07-16 19:58:15.216 | Frame 16] Detected VEHICLE: Car 0.91 at [1030,505,1213,645] conf: 0.91
[2025-07-16 19:58:15.216 | Frame 16] Detected VEHICLE: Car 0.89 at [821,500,1055,643] conf: 0.89
[2025-07-16 19:58:15.216 | Frame 16] Detected VEHICLE: Truck 0.82 at [584,460,833,642] conf: 0.82
[2025-07-16 19:58:15.768 | Frame 17] Detected HUMAN: Person 0.93 at [361,371,539,678] conf: 0.93
[2025-07-16 19:58:15.768 | Frame 17] Detected HUMAN: Person 0.93 at [192,374,376,679] conf: 0.93
[2025-07-16 19:58:15.768 | Frame 17] Detected VEHICLE: Car 0.91 at [1030,505,1213,645] conf: 0.91
[2025-07-16 19:58:15.768 | Frame 17] Detected VEHICLE: Car 0.89 at [822,499,1055,643] conf: 0.89
[2025-07-16 19:58:15.768 | Frame 17] Detected VEHICLE: Truck 0.83 at [584,460,833,641] conf: 0.83
[2025-07-16 19:58:16.300 | Frame 18] Detected HUMAN: Person 0.93 at [194,375,376,679] conf: 0.93
[2025-07-16 19:58:16.300 | Frame 18] Detected HUMAN: Person 0.92 at [361,370,539,678] conf: 0.92
[2025-07-16 19:58:16.300 | Frame 18] Detected VEHICLE: Car 0.91 at [1029,505,1213,644] conf: 0.91
[2025-07-16 19:58:16.300 | Frame 18] Detected VEHICLE: Car 0.90 at [823,500,1055,642] conf: 0.90
[2025-07-16 19:58:16.300 | Frame 18] Detected VEHICLE: Truck 0.84 at [585,459,833,639] conf: 0.84
[2025-07-16 19:58:16.300 | Frame 18] Detected FIRE: FIRE 0.36 at [0,7,988,543] conf: 0.36
[2025-07-16 19:58:16.300 | Frame 18] Alert cleared: ALERT: HUMAN DETECTED!
[2025-07-16 19:58:16.300 | Frame 18] Alert triggered: ALERT: FIRE DETECTED!
[2025-07-16 19:58:16.300 | Frame 18] Sound alert triggered: FIRE
[2025-07-16 19:58:16.300 | Frame 18] Sound file not found: fire_alert.mp3
[2025-07-16 19:58:16.809 | Frame 19] Detected HUMAN: Person 0.93 at [361,370,539,679] conf: 0.93
[2025-07-16 19:58:16.809 | Frame 19] Detected HUMAN: Person 0.93 at [194,375,377,679] conf: 0.93
[2025-07-16 19:58:16.809 | Frame 19] Detected VEHICLE: Car 0.91 at [1029,504,1213,643] conf: 0.91
[2025-07-16 19:58:16.809 | Frame 19] Detected VEHICLE: Car 0.90 at [824,500,1054,641] conf: 0.90
[2025-07-16 19:58:16.811 | Frame 19] Detected VEHICLE: Truck 0.83 at [586,459,833,638] conf: 0.83
[2025-07-16 19:58:16.811 | Frame 19] Detected FIRE: FIRE 0.39 at [0,7,981,537] conf: 0.39
[2025-07-16 19:58:16.811 | Frame 19] Rotated to 90°.
[2025-07-16 19:58:17.332 | Frame 20] Detected FIRE: FIRE 0.72 at [0,47,666,1214] conf: 0.72
[2025-07-16 19:58:17.854 | Frame 21] Detected FIRE: FIRE 0.83 at [0,27,666,1214] conf: 0.83
[2025-07-16 19:58:18.345 | Frame 22] Detected FIRE: FIRE 0.83 at [0,28,666,1214] conf: 0.83
[2025-07-16 19:58:18.866 | Frame 23] Detected FIRE: FIRE 0.85 at [0,31,666,1209] conf: 0.85
[2025-07-16 19:58:18.882 | Frame 23] Rotated to 180°.
[2025-07-16 19:58:19.389 | Frame 24] Detected VEHICLE: Motorcycle 0.72 at [839,0,1077,275] conf: 0.72
[2025-07-16 19:58:19.389 | Frame 24] Detected HUMAN: Person 0.55 at [649,0,843,276] conf: 0.55
[2025-07-16 19:58:19.389 | Frame 24] Detected FIRE: FIRE 0.36 at [949,358,1212,682] conf: 0.36
[2025-07-16 19:58:19.912 | Frame 25] Detected VEHICLE: Motorcycle 0.72 at [839,0,1077,275] conf: 0.72
[2025-07-16 19:58:19.912 | Frame 25] Detected HUMAN: Person 0.54 at [649,0,844,286] conf: 0.54
[2025-07-16 19:58:19.912 | Frame 25] Detected FIRE: FIRE 0.37 at [948,357,1212,682] conf: 0.37
[2025-07-16 19:58:20.431 | Frame 26] Detected VEHICLE: Motorcycle 0.73 at [838,0,1077,273] conf: 0.73
[2025-07-16 19:58:20.431 | Frame 26] Detected HUMAN: Person 0.61 at [650,0,846,293] conf: 0.61
[2025-07-16 19:58:20.431 | Frame 26] Detected FIRE: FIRE 0.34 at [946,357,1212,682] conf: 0.34
[2025-07-16 19:58:20.431 | Frame 26] Rotated to 270°.
[2025-07-16 19:58:20.938 | Frame 27] Detected FIRE: FIRE 0.64 at [10,0,681,1206] conf: 0.64
[2025-07-16 19:58:21.443 | Frame 28] Detected VEHICLE: Truck 0.52 at [247,7,682,1087] conf: 0.52
[2025-07-16 19:58:21.443 | Frame 28] Detected FIRE: FIRE 0.60 at [8,0,681,1203] conf: 0.60
[2025-07-16 19:58:21.443 | Frame 28] Rotated to 0°.
[2025-07-16 19:58:21.964 | Frame 29] Detected HUMAN: Person 0.93 at [196,372,380,680] conf: 0.93
[2025-07-16 19:58:21.964 | Frame 29] Detected HUMAN: Person 0.92 at [365,365,544,679] conf: 0.92
[2025-07-16 19:58:21.964 | Frame 29] Detected VEHICLE: Car 0.92 at [1033,500,1213,638] conf: 0.92
[2025-07-16 19:58:21.964 | Frame 29] Detected VEHICLE: Car 0.90 at [826,497,1059,637] conf: 0.90
[2025-07-16 19:58:21.964 | Frame 29] Detected VEHICLE: Truck 0.78 at [588,456,836,635] conf: 0.78
[2025-07-16 19:58:21.964 | Frame 29] Detected FIRE: FIRE 0.69 at [0,9,931,546] conf: 0.69
[2025-07-16 19:58:22.484 | Frame 30] Detected HUMAN: Person 0.93 at [196,372,380,680] conf: 0.93
[2025-07-16 19:58:22.484 | Frame 30] Detected HUMAN: Person 0.93 at [365,365,544,679] conf: 0.93
[2025-07-16 19:58:22.484 | Frame 30] Detected VEHICLE: Car 0.92 at [1033,500,1213,638] conf: 0.92
[2025-07-16 19:58:22.484 | Frame 30] Detected VEHICLE: Car 0.90 at [827,497,1058,637] conf: 0.90
[2025-07-16 19:58:22.484 | Frame 30] Detected VEHICLE: Truck 0.79 at [588,456,836,635] conf: 0.79
[2025-07-16 19:58:22.484 | Frame 30] Detected FIRE: FIRE 0.69 at [0,8,932,546] conf: 0.69
[2025-07-16 19:58:23.023 | Frame 31] Detected HUMAN: Person 0.93 at [197,371,380,680] conf: 0.93
[2025-07-16 19:58:23.023 | Frame 31] Detected HUMAN: Person 0.92 at [365,364,545,679] conf: 0.92
[2025-07-16 19:58:23.023 | Frame 31] Detected VEHICLE: Car 0.92 at [1033,500,1213,637] conf: 0.92
[2025-07-16 19:58:23.023 | Frame 31] Detected VEHICLE: Car 0.90 at [825,497,1059,637] conf: 0.90
[2025-07-16 19:58:23.023 | Frame 31] Detected VEHICLE: Truck 0.82 at [588,456,836,634] conf: 0.82
[2025-07-16 19:58:23.023 | Frame 31] Detected FIRE: FIRE 0.71 at [0,8,929,550] conf: 0.71
[2025-07-16 19:58:23.586 | Frame 32] Detected HUMAN: Person 0.93 at [196,372,380,680] conf: 0.93
[2025-07-16 19:58:23.586 | Frame 32] Detected HUMAN: Person 0.93 at [366,364,547,679] conf: 0.93
[2025-07-16 19:58:23.586 | Frame 32] Detected VEHICLE: Car 0.92 at [1032,499,1213,636] conf: 0.92
[2025-07-16 19:58:23.586 | Frame 32] Detected VEHICLE: Car 0.90 at [827,497,1059,638] conf: 0.90
[2025-07-16 19:58:23.586 | Frame 32] Detected VEHICLE: Truck 0.81 at [588,456,836,633] conf: 0.81
[2025-07-16 19:58:23.586 | Frame 32] Detected FIRE: FIRE 0.59 at [0,8,928,558] conf: 0.59
[2025-07-16 19:58:24.095 | Frame 33] Detected HUMAN: Person 0.93 at [196,372,380,680] conf: 0.93
[2025-07-16 19:58:24.095 | Frame 33] Detected VEHICLE: Car 0.92 at [1032,499,1213,636] conf: 0.92
[2025-07-16 19:58:24.095 | Frame 33] Detected HUMAN: Person 0.92 at [366,364,552,680] conf: 0.92
[2025-07-16 19:58:24.095 | Frame 33] Detected VEHICLE: Car 0.91 at [826,497,1061,637] conf: 0.91
[2025-07-16 19:58:24.095 | Frame 33] Detected VEHICLE: Truck 0.76 at [589,455,836,632] conf: 0.76
[2025-07-16 19:58:24.095 | Frame 33] Detected VEHICLE: Bus 0.65 at [128,253,1213,600] conf: 0.65
